Applications,Cef,NBR Version,Kit CEF,Remarks,Company,Tipologia Applicazione
DF140A (2012→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140AT (2013→2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140AZ (2021),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140B (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140BT (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140BZ (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
DF140BG (2022→2024),500367,,,Original Suzuki water pump repair kit. Replaces #17400-92J21. Includes OEM impeller #17461-90J01.,SUZUKI,Outboard
,,,,,,
"DF90 (2001→2006, S/N: up to -682148)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF100 (2001→2006, S/N: up to -682148)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF115 (2001→2006, S/N: up to -682148)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF140 (2001→2006, S/N: up to -682148)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
,,,,,,
DF60/DF70 (1998→2007),,,,Water Pump Repair Kit (includes all necessary parts for pump overhaul),SUZUKI,Outboard
DT90/DT100 (1990→2000),,,,Water Pump Repair Kit (includes all necessary parts for pump overhaul),SUZUKI,Outboard
,,,,,,
DT20 (1986→2000),500399,,,"Impeller. Replaces old codes: #17461-96400, #17461-96401, #17461-96402, #17461-964L0",SUZUKI,Outboard
DT25 (1986→2000),500399,,,"Impeller. Replaces old codes: #17461-96400, #17461-96401, #17461-96402, #17461-964L0",SUZUKI,Outboard
DT30 (1986→2000),500399,,,"Impeller. Replaces old codes: #17461-96400, #17461-96401, #17461-96402, #17461-964L0",SUZUKI,Outboard
DT25C - DT30C (1989→2000),500399,,,"Impeller. Replaces old codes: #17461-96400, #17461-96401, #17461-96402, #17461-964L0",SUZUKI,Outboard
DT25 - DT30 (2001→2002),500399,,,"Impeller. Replaces old codes: #17461-96400, #17461-96401, #17461-96402, #17461-964L0",SUZUKI,Outboard
,,,,,,
DT55/DT65 (2T),,,,Impeller,SUZUKI,Outboard
DT115/DT140 (1988→1996),500367N,,,Water Pump Repair Kit for 2-Stroke (Impeller #17461-94510). Fits also DT115/DT140 (1986→2001),SUZUKI,Outboard
,,,,,,
DT150 (1986→2003) - 2 Stroke,500367,,,"Water Pump Repair Kit (Impeller #17461-90J00). Replaces #17400-87D10, #17400-87D00, #17400-87D01, #17400-87D02, Sierra #18-3253",SUZUKI,Outboard
DT175 (1987→1992) - 2 Stroke,500367,,,"Water Pump Repair Kit (Impeller #17461-90J00). Replaces #17400-87D10, #17400-87D00, #17400-87D01, #17400-87D02, Sierra #18-3253",SUZUKI,Outboard
DT200 (1986→2000 - 2 Stroke,500367,,,"Water Pump Repair Kit (Impeller #17461-90J00). Replaces #17400-87D10, #17400-87D00, #17400-87D01, #17400-87D02, Sierra #18-3253",SUZUKI,Outboard
DT225 (1990→2003) - 2 Stroke,500367,,,"Water Pump Repair Kit (Impeller #17461-90J00). Replaces #17400-87D10, #17400-87D00, #17400-87D01, #17400-87D02, Sierra #18-3253",SUZUKI,Outboard
,,,,,,
DF300B (2020→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98L02-000,SUZUKI,Outboard
DF325AP (2018→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98L02-000,SUZUKI,Outboard
DF350AP (2018→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98L02-000,SUZUKI,Outboard
,,,,,,
DF40A (2010→Today),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
DF40AQH (2021→2024),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
DF40AST (2012→2024),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
DF40ASVT (2021→2024),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
