ID,Applications (Motore / Potenza / Specifiche),CEF (Codice CEF),NBR Version,Kit (Codice Kit),Remarks (Compatibilità, anni, note),Company,Tipologia Applicazione,Note Esplicative (fonti, dettagli)
210,"Yamaha 2.5–3 HP portatili (2T “Malta” 3HP, 4T F2.5A/B, ~1988–2020)","500322","","(impeller only)","Girante piccola (OEM 6L5-44352-00-00); 2T 3A Malta, 4T F2.5","YAMAHA","Outboard_Engines","Mallory 9-45615"
211,"Yamaha 6–8 HP (2T anni ‘80-‘90) e 4T F6/F8 (fino a F9.9)","500321","","(impeller only)","OEM 662-44352-01-00","YAMAHA","Outboard_Engines","Mallory 9-45608"
212,"Yamaha 9.9–15 HP 2T (dal 1996 ~) e 4T F15C (dal 1998 ~)","500363","","(impeller only)","OEM 63V-44352-01-00 (sost. -00)","YAMAHA","Outboard_Engines","Mallory 9-45607"
213,"Yamaha 75–100 HP 4T (F75,F80,F90,F100 ~1999–2010)","500364","","(impeller only)","OEM 67F-44352-01-00","YAMAHA","Outboard_Engines","Mallory 9-45612"
214,"Yamaha 25 HP 2T e 4T HT (25N/30J Enduro, F25 'detuned', T25)","500384","","6L2-W0078 (Yam)","OEM 6L2-44352-00-00; 25HP 2T anni '90 e T25","YAMAHA","Outboard_Engines","Mallory 9-45613"
215,"Yamaha 25–30 HP 4T (F25B/F25C 2017+) e precedenti 25/30 3Cil 2T","500385","","(impeller only)","OEM 6H4-44352-02-00; copre F25->F50","YAMAHA","Outboard_Engines","Mallory 9-45601"
216,"Yamaha 40–70 HP (2T/4T, 40V/50H 2T, F40-F60-F70 4T 2000–2023, T50/T60)","500316","","Yam kit 6H3-W0078","OEM 6H3-44352-00-00 (ex 697-44352)","YAMAHA","Outboard_Engines","Mallory 9-45602"
217,"Yamaha 75–90 HP 2T (3cil, 75A/85A/90A)","500323","","(impeller only)","OEM 688-44352-03-00","YAMAHA","Outboard_Engines",""
218,"Yamaha 115–130 HP 2T (V4) e 150–200 HP 2T (V6) + primi F115-F150 4T","500371","","(impeller only)","OEM 6E5-44352-01-00","YAMAHA","Outboard_Engines","Mallory 9-45609"
219,"Yamaha 225–300 HP 4T (V6 4.2L dal 2010, F225-F250-F300)","500401","","(impeller only)","OEM 6CE-44352-00-00","YAMAHA","Outboard_Engines","Quicksilver 8M6010334"
220,"Yamaha 300–350 HP 4T (V8 5.3L, F300B/F350A ~2007–2021)","500389","","(impeller only)","OEM 6AW-44352-00-00","YAMAHA","Outboard_Engines",""
