Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
"7.4GLIHUB, 7.4GLIHUB",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLIMDA,7.4GLIMDM",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLINCC, 7.4GLINCS",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLPHUS, 7.4GIPHUSCE",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLPLKD, 7.4GLPLKE",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLPMDA, 7.4GLPMDM",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GLPNCA, 7.4GLPNCS, 7.4GLPNCM, 7.4GLPNCB",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GSi,",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GSIINCC, 7.4GSIINCS",500107GT,,,,VOLVO PENTA,Inboard_Engines
7.4GSIPBYCCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
7.4GSiPEFS,500189GT,,,,VOLVO PENTA,Inboard_Engines
7.4GSIPWTR,500189GT,,,,VOLVO PENTA,Inboard_Engines
7.4GSIXHUS,500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4GSIXNCB, 7.4GSIXNCM",500107GT,,,,VOLVO PENTA,Inboard_Engines
"7.4L, GL, GI",500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
"8,1L, GI, GXI, OSI",500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
8.1GI-A/B/BF/C/CF/D/DF/E/EF/F/FF,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.1Gi-G, 8.1Gi-GF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1Gi-H, 8.1Gi-HF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1Gi-J, 8.1Gi-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiC-400-J, 8.1GiC-400JF, 8.1GiC-400-Q",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiCE-400-J, 8.1GiCE-400JF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiCE-400-M, 8.1GiCE-400MF",500178G,,,,VOLVO PENTA,Inboard_Engines
8.1GII-A/B/C/E/F,500107GT,,,,VOLVO PENTA,Inboard_Engines
8.1GiI-G,500178G,,,,VOLVO PENTA,Inboard_Engines
8.1GiI-H,500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiE-J, 8.1GiE-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiE-K, 8.1GiE-KF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GiE-M, 8.1GiE-MF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GSI-A, 8.1GSII-A",500107GT,,,,VOLVO PENTA,Inboard_Engines
8.1GXI-A/AF/B/BF/C/CF/D/DF/E/EF,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.1GXi-F, 8.1GXi-FF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GXi-G, 8.1GXi-GF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GXi-J, 8.1GXi-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
8.1GXiI-F,500178G,,,,VOLVO PENTA,Inboard_Engines
8.1GXiI-G,500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GXiE-J, 8.1GXiE-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GXiE-K, 8.1GXiE-KF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1GXiE-M, 8.1GXiE-MF",500178G,,,,VOLVO PENTA,Inboard_Engines
8.1GXII-A/B/C/D/E,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.1IPSCE-JF, 8.1IPSCE-MF",500178G,,,,VOLVO PENTA,Inboard_Engines
8.1OSI-A/AF/B/BF,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.1OSi-C, 8.1OSi-CF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1OSi-D, 8.1OSi-DF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1OSi-J, 8.10OSi-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
"8.1OSiE-J, 8.1OSiE-JF",500178G,,,,VOLVO PENTA,Inboard_Engines
8.2 GL,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.2GLIMDA, 8.2GLIMDM",500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.2GLPMDM, 8.2GLPMDM",500107GT,,,,VOLVO PENTA,Inboard_Engines
8.2GSIPBYCCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
8.2GSiPEFS,500189GT,,,,VOLVO PENTA,Inboard_Engines
8.2GSIPWTR,500189GT,,,,VOLVO PENTA,Inboard_Engines
8.2GSIXNCB,500107GT,,,,VOLVO PENTA,Inboard_Engines
"8.2L, GL",500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
110S,501001,,,Cover plate against hull/Patella di sigillatura,VOLVO PENTA,Inboard_Engines
"120S,120S-B,120S-C,120S-D,120S-E",501001,,,Cover plate against hull/Patella di sigillatura,VOLVO PENTA,Inboard_Engines
120S-E,500107GT,,,,VOLVO PENTA,Inboard_Engines
"200,250,270,280DP,280PT",501011,,,Cooling hose/Manicotto acqua,VOLVO PENTA,Inboard_Engines
2001/2002/2003,500121GX,,,,VOLVO PENTA,Inboard_Engines
2001AG-2001B - 2001BG,500121GX,,,,VOLVO PENTA,Inboard_Engines
2001B/2002B/2003B,500121GX,,,,VOLVO PENTA,Inboard_Engines
2002 - 2002AG-2002B - 2002BG - 2002D,500121GX,,,,VOLVO PENTA,Inboard_Engines
2003 -2003AG-2003B - 2003BG - 2003D,500121GX,,,,VOLVO PENTA,Inboard_Engines
"200-290DPA,SP,DP-A to DP-E and DPX",500510K,,,Stern drive/Gruppo poppiero (u-joint/giunto),VOLVO PENTA,Inboard_Engines
"200-290DPA,SP,DP-A to DP-E and",500505,,,Exhaust bellow/Soffietto scarico ,VOLVO PENTA,Inboard_Engines
"2003T, 2003TB, AQD21A, AQD21B",500107GT,,,,VOLVO PENTA,Inboard_Engines
230,501008K,,,Rubber Bushing Trasmission/ Cuscinetto Trasmissione,VOLVO PENTA,Inboard_Engines
"230A,B",500170CG,,,,VOLVO PENTA,Inboard_Engines
230B,501007,,,Clamp ring Flywheel Housing/Anello gomma Scatola Volano,VOLVO PENTA,Inboard_Engines
230A/SP-A/MT,501006,,,Clamp ring Flywheel Housing/Anello gomma Scatola Volano,VOLVO PENTA,Inboard_Engines
