Applications,CEF IMPELLERS,CEF IMPELLERS NBR Version,CEF KITs CODES,Remarks,Manufacturer,Tipologia Applicazione,Applications_note,Tipologia
"10170-0011","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10190-0011","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10-35115-2","500101GX","500201GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10420","500116GX","500216GX","RK0006",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10490","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10490-0201","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10490-07","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10490-207","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10550-01","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10550-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10550-205","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0031","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0041","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-01","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0111","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0141","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0201","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-0341","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-21","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-22","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-61","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-62","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10590-63","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630-207","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10630-57","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10650","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10650-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10660","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10660-200","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-10","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-11","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-200","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-201","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-210","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10670-211","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-01","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-10","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-11","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-200","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-201","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-210","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10680-211","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0051","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0111","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0151","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0331","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0351","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-0531","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-57","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10770-62","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10800-21","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-0051","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-0101","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-0151","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-07","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-21","500105GT","500205GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-2461","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-2561","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-2611","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10880-62","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10890-01","500105GT","500205GT","RK0002",,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-200","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-201","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-204","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-205","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
