"E75","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1995-2000",
"F2,5 HP","500322",,,,"YAMAHA","OUTBOARD_ENGINES","2003-2005",
"F4","500325",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2005",
"F6/F8","500368",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2005",
"F9,9","500320",,,,"YAMAHA","OUTBOARD_ENGINES","1985-1998",
"F15","500363",,,,"YAMAHA","OUTBOARD_ENGINES","1998-2005",
"F25","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1998-2005",
"F30","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2002",
"F40","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1999",
"F40","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2004",
"F40 2,6L","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1999",
"F50","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2005",
"F60","500316",,,,"YAMAHA","OUTBOARD_ENGINES","2002-2005",
"F75","500364",,,,"YAMAHA","OUTBOARD_ENGINES","2003-2005",
"F80","500364",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2003",
"F90","500364",,,,"YAMAHA","OUTBOARD_ENGINES","2004-2005",
"C115","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000",
"DX150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2004",
"F115","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2005",
"F100","500364",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2003",
"F180","500364",,,,"YAMAHA","OUTBOARD_ENGINES","2003",
"F200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2005",
"F225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2002",
"F250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2005",
"L130","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6L6 (1989-1992",
"L130","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6N4 (1989-1996",
"L130","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2001",
"L150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R0 (1986-1999",
"L150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6K0 (1986-1991",
"L200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6K1 (1986-1991",
"L200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6R1 (1986-1991",
"L200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1992-1999",
"L225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1994-1999",
"L250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1990-1999",
"LF115","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2004",
"LF200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2002-2005",
"LF225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2002-2005",
"LF250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2005",
"LX150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2004",
"LX200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2003",
"LX225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2003",
"LX250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2003",
"LZ150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2005",
"LZ200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2005",
"P40","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1998",
"P50","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1993",
"P50","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1995-1996",
"P60","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1999",
"P75","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1996-1999",
"LZ250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2003-2005",
"LZ300","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2004-2005",
"P115","500371",,,,"YAMAHA","OUTBOARD_ENGINES","62A (1993-1996",
"P150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1986-1999",
"P175","500371",,,,"YAMAHA","OUTBOARD_ENGINES","62H (1994-1999",
"P200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1991-1999",
"PRO 50","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1987-1994",
"PRO V150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6J9 (1986-1989",
"PRO V150D","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6N9 (1990",
"PX150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999",
"S225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1994-1999",
"S250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1997-1999",
"SX150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2004",
"SX200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1999-2005",
"SX225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2003",
"T8","500363",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2005",
"FT9,9","500320",,,,"YAMAHA","OUTBOARD_ENGINES","1985-1990",
"T9,9","500320",,,,"YAMAHA","OUTBOARD_ENGINES","1985-1999",
"T9,9","500363",,,,"YAMAHA","OUTBOARD_ENGINES","2005",
"T25","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2005",
"T50","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1996-2005",
"T60","500316",,,,"YAMAHA","OUTBOARD_ENGINES","2003-2004",
"SX250","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2003",
"V6 SPECIAL","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6G7 (1984-1986",
"V6 EXCELL","500371",,,,"YAMAHA","OUTBOARD_ENGINES","6K7 (1987-1989",
"V150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2005",
"V175","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000",
"V200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1998-1999",
"V225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","1998-1999",
"VX150","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2004",
"VX200","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2001-2005",
"VX225","500371",,,,"YAMAHA","OUTBOARD_ENGINES","2000-2004",
