Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"84","12.5 BTDA","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)9.4 BTDA (50HZ"
"85","12.5 BTDB","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)9.4 BTDB (50HZ"
"86","12.5 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)9.4 WMD (50HZ"
"87","15.0 BTDC","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)12.0 BTDC (50HZ"
"88","3/4","500188CT",,,,"FYNSPRAY","INBOARD_ENGINES",
"89","PUMP/POMPA 10170-0011","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"90","PUMP/POMPA 10190-0011","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"91","PUMP/POMPA 10-35115-2","500101GX","500201GX",,,"JABSCO","INBOARD_ENGINES",
"92","PUMP/POMPA 10420","500116GX","500216GX","RK0006",,"JABSCO","INBOARD_ENGINES",
"93","PUMP/POMPA 10490","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"94","PUMP/POMPA 10490-0201","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"95","PUMP/POMPA 10490-07","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"96","PUMP/POMPA 10490-207","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"97","PUMP/POMPA 10550-01","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"98","PUMP/POMPA 10550-200","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"99","PUMP/POMPA 10550-205","500107GT","500207GT",,,"JABSCO","INBOARD_ENGINES",
"100","PUMP/POMPA 10590","500145GT",,,,"JABSCO","INBOARD_ENGINES",
"101","PUMP/POMPA 10590-0031","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"102","PUMP/POMPA 10590-0041","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"103","PUMP/POMPA 10590-01","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"104","PUMP/POMPA 10590-0111","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"105","PUMP/POMPA 10590-0141","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"106","PUMP/POMPA 10590-0201","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"107","PUMP/POMPA 10590-0341","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"108","PUMP/POMPA 10590-21","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"109","PUMP/POMPA 10590-22","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"110","PUMP/POMPA 10590-61","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"111","PUMP/POMPA 10590-62","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
"112","PUMP/POMPA 10590-63","500145GT",,"RK0008",,"JABSCO","INBOARD_ENGINES",
