Applications,Company,Tipologia Applicazione
"5.7GXiCE-M, 5.7GXiCE-MF","VOLVO PENTA","Inboard_Engines"
"5.7GXiE-J, 5.7GXiE-JF","VOLVO PENTA","Inboard_Engines"
"5.7GXiE-K, 5.7GXiE-KF","VOLVO PENTA","Inboard_Engines"
"5.7GXiE-M, 5.7GXiE-MF","VOLVO PENTA","Inboard_Engines"
"5.7GXiE-N","VOLVO PENTA","Inboard_Engines"
"5.7GXiI-A/B/C/D/E/F","VOLVO PENTA","Inboard_Engines"
"5.7GXiI-G","VOLVO PENTA","Inboard_Engines"
"5.7GXiI-H","VOLVO PENTA","Inboard_Engines"
"5.7OSi-A/B/C/D/DAF/BF/CF/DF","VOLVO PENTA","Inboard_Engines"
"5.7OSi-E, 5.7OSi-EF, 5.7OSXi-E, 5.7OSXi-EF","VOLVO PENTA","Inboard_Engines"
"5.7OSi-300-J, 5.7OSi-300-JF","VOLVO PENTA","Inboard_Engines"
"5.7OSi-G, 5.7OSi-GF","VOLVO PENTA","Inboard_Engines"
"5.7OSiE-300-J, 5.7OSiE-300-JF","VOLVO PENTA","Inboard_Engines"
"5.7OSXi-A/B/C/D/AF/BF/CF/DF","VOLVO PENTA","Inboard_Engines"
"5.7OSXi-E, 5.7OSXi-EF","VOLVO PENTA","Inboard_Engines"
"5.7OSXi-G, 5.7OXi-GF","VOLVO PENTA","Inboard_Engines"
"5.7OSXi-J, 5.7OXi-JF","VOLVO PENTA","Inboard_Engines"
"5.7OSXiE-J, 5.7OSXiE-JF","VOLVO PENTA","Inboard_Engines"
"5.7GS, 5.7GSi, 5.8FL, 5.8FSi","VOLVO PENTA","Inboard_Engines"
"5.8Fi, 500A, 500B, 501A, 501B, 570A","VOLVO PENTA","Inboard_Engines"
"5.8FIIHUBCE, 5.8FIIHUECE","VOLVO PENTA","Inboard_Engines"
"5.8FIPHUBCE","VOLVO PENTA","Inboard_Engines"
"5.8FIPHUCCE, 5.8FIPHUECE, 5.8FIPHURCE","VOLVO PENTA","Inboard_Engines"
"5.8FIPHUSCE","VOLVO PENTA","Inboard_Engines"
"5.8FiPMDA, 5.8FiPMDM","VOLVO PENTA","Inboard_Engines"
"5.8FIPNCACE, 5.8FIPNCBCE, 5.8FIPNCMCE","VOLVO PENTA","Inboard_Engines"
"5.8FIPNCSCE","VOLVO PENTA","Inboard_Engines"
"5.8FLIHUB, 5,8FLIHUE","VOLVO PENTA","Inboard_Engines"
"5.8FLINCC, 5.8FLINCS","VOLVO PENTA","Inboard_Engines"
"5.8FLPHUC","VOLVO PENTA","Inboard_Engines"
"5.8FLPHUE, 5.8FLPHUR","VOLVO PENTA","Inboard_Engines"
"5.8FLPMDA","VOLVO PENTA","Inboard_Engines"
"5.8FLPNCA","VOLVO PENTA","Inboard_Engines"
"5.8FLPNCB, 5.8FLPNCM, 5.8FLPNCS","VOLVO PENTA","Inboard_Engines"
"5.8FSIINCC","VOLVO PENTA","Inboard_Engines"
"5.8FSIINCS","VOLVO PENTA","Inboard_Engines"
"5.8FSIPHUBCE","VOLVO PENTA","Inboard_Engines"
"5.8FSIPHUCCE, 5.8FSIPHUECE, 5.8FSIPHURCE","VOLVO PENTA","Inboard_Engines"
"5.8FSIPHUSCE","VOLVO PENTA","Inboard_Engines"
"5.8FSIPNCACE, 5.8FSIPNCD","VOLVO PENTA","Inboard_Engines"
"5.8FSIPNCS","VOLVO PENTA","Inboard_Engines"
"5.8L, FL, FI, FSI","VOLVO PENTA","Inboard_Engines"
"7.45Gi","VOLVO PENTA","Inboard_Engines"
"7.4GIIHUBCE","VOLVO PENTA","Inboard_Engines"
"7.4GIINCCCE","VOLVO PENTA","Inboard_Engines"
"7.4GIINCSCE","VOLVO PENTA","Inboard_Engines"
"7.4GIPBYCCE, 7.4GIPBYDCE","VOLVO PENTA","Inboard_Engines"
"7.4GiPEFS","VOLVO PENTA","Inboard_Engines"
"7.4GIPLKDCE, 7.4GIPLKECE","VOLVO PENTA","Inboard_Engines"
"7.4GIPNCACE","VOLVO PENTA","Inboard_Engines"
"7.4GIPNCBCE, 7.4GIPNCMCE, 7.4GIPNCSCE","VOLVO PENTA","Inboard_Engines"
"7.4GIPWTR","VOLVO PENTA","Inboard_Engines"
"7.4GLIHUB, 7.4GLIHUB","VOLVO PENTA","Inboard_Engines"
"7.4GLIMDA,7.4GLIMDM","VOLVO PENTA","Inboard_Engines"
"7.4GLINCC, 7.4GLINCS","VOLVO PENTA","Inboard_Engines"
"7.4GLPHUS, 7.4GIPHUSCE","VOLVO PENTA","Inboard_Engines"
"7.4GLPLKD, 7.4GLPLKE","VOLVO PENTA","Inboard_Engines"
"7.4GLPMDA, 7.4GLPMDM","VOLVO PENTA","Inboard_Engines"
"7.4GLPNCA, 7.4GLPNCS, 7.4GLPNCM, 7.4GLPNCB","VOLVO PENTA","Inboard_Engines"
